distance|iqid|vqid|maxradius
29.207|Q11949440|Q11918302|30.0
26.086|Q11952719|Q11918302|30.0
24.589|Q17300931|Q11918302|30.0
28.411|Q17300938|Q11918302|30.0
26.013|Q17300939|Q11918302|30.0
28.165|Q17481246|Q11918302|30.0
26.619|Q17481936|Q11918302|30.0
26.568|Q17482485|Q11918302|30.0
29.449|Q17482530|Q11918302|30.0
22.453|Q17483296|Q11918302|30.0
25.514|Q17483420|Q11918302|30.0
26.433|Q17483596|Q11918302|30.0
28.337|Q17483681|Q11918302|30.0
29.383|Q17483682|Q11918302|30.0
24.403|Q17483860|Q11918302|30.0
21.738|Q17604915|Q11918302|30.0
16.426|Q11952551|Q11918302|30.0
24.302|Q11944762|Q11918302|30.0
25.314|Q11952364|Q11918302|30.0
27.437|Q17587808|Q11918302|30.0
27.547|Q18008540|Q11918302|30.0
27.526|Q11944763|Q11918302|30.0
28.175|Q11952574|Q11918302|30.0
29.634|Q18006298|Q11918302|30.0
29.959|Q17616385|Q11918302|30.0
14.218|Q11945594|Q11918302|30.0
12.002|Q11952386|Q11918302|30.0
18.636|Q11952460|Q11918302|30.0
22.32|Q18005097|Q11918302|30.0
19.642|Q17043703|Q11918302|30.0
10.638|Q11938092|Q11918302|30.0
10.359|Q17043309|Q11918302|30.0
10.36|Q17594827|Q11918302|30.0
19.473|Q17602388|Q11918302|30.0
5.058|Q11938076|Q11918302|30.0
28.372|Q17043407|Q11918302|30.0
21.856|Q11938053|Q11918302|30.0
15.097|Q23498616|Q11918302|50.0
1.47|Q12733|Q11918302|5.0
4.532|Q1765399|Q11918302|5.0
4.466|Q9089064|Q11918302|5.0
3.033|Q11908948|Q11918302|5.0
4.771|Q11916069|Q11918302|5.0
1.848|Q11918362|Q11918302|5.0
4.767|Q11935343|Q11918302|5.0
4.876|Q17594174|Q11918302|5.0
2.871|Q17596082|Q11918302|5.0
3.238|Q18709014|Q11918302|5.0
1.737|Q19830951|Q11918302|5.0
3.025|Q20875061|Q11918302|5.0
4.572|Q20901262|Q11918302|5.0
2.843|Q21013380|Q11918302|5.0
4.93|Q21707356|Q11918302|5.0
4.511|Q28131159|Q11918302|5.0
4.489|Q28133202|Q11918302|5.0
4.175|Q28133803|Q11918302|5.0
4.499|Q28137868|Q11918302|5.0
4.508|Q28142200|Q11918302|5.0
3.009|Q28142948|Q11918302|5.0
4.515|Q28146647|Q11918302|5.0
4.502|Q28146805|Q11918302|5.0
3.0|Q28155304|Q11918302|5.0
4.927|Q28157182|Q11918302|5.0
1.44|Q8460413|Q11918302|5.0
3.5|Q11913120|Q11918302|5.0
4.792|Q11942465|Q11918302|5.0
4.76|Q11947361|Q11918302|5.0
3.258|Q11954915|Q11918302|5.0
3.757|Q17482706|Q11918302|5.0
3.255|Q18003393|Q11918302|5.0
4.438|Q18004141|Q11918302|5.0
1.441|Q18006739|Q11918302|5.0
3.458|Q18006760|Q11918302|5.0
